date,open,high,low,close,volume
2020-09-07,3349.918,3368.245,3285.633,3292.591,26061656700
2020-09-08,3301.217,3324.393,3276.443,3316.417,27106627800
2020-09-09,3280.997,3289.615,3238.561,3254.628,35150974700
2020-09-10,3282.232,3285.473,3227.644,3234.823,31247280400
2020-09-11,3225.784,3262.498,3220.536,3260.346,22169883000
2020-09-14,3275.918,3283.533,3261.148,3278.814,21392413700
2020-09-15,3277.128,3297.69,3263.752,3295.68,19768440000
2020-09-16,3293.168,3302.456,3271.075,3283.924,20044336400
2020-09-17,3277.324,3290.409,3248.499,3270.435,20293197200
2020-09-18,3270.911,3338.324,3268.526,3338.09,25626078800
2020-09-21,3348.899,3350.589,3313.071,3316.935,21650309300
2020-09-22,3290.666,3320.228,3265.703,3274.302,21401506500
2020-09-23,3278.836,3289.762,3264.891,3279.711,16917806800
2020-09-24,3262.879,3265.345,3221.237,3223.176,20673601100
2020-09-25,3234.374,3239.466,3208.035,3219.418,16482241900
2020-09-28,3224.977,3238.183,3210.893,3217.535,15598278300
2020-09-29,3231.855,3242.794,3219.79,3224.359,15134987000
2020-09-30,3232.71,3244.913,3202.344,3218.052,15350445700
2020-10-09,3262.611,3280.512,3260.187,3272.076,18832564800
2020-10-12,3287.328,3359.153,3286.111,3358.465,25962240800
2020-10-13,3353.121,3361.832,3334.499,3359.75,20492610300
2020-10-14,3353.625,3353.625,3332.964,3340.778,19865938200
2020-10-15,3342.922,3354.578,3330.001,3332.183,19103128200
2020-10-16,3334.457,3348.954,3319.11,3336.358,19429542100
2020-10-19,3351.096,3371.086,3307.841,3312.667,21230354000
2020-10-20,3307.15,3328.103,3293.766,3328.103,16508476200
2020-10-21,3332.147,3332.147,3304.169,3325.025,17763211500
2020-10-22,3315.821,3320.879,3281.366,3312.501,16594998700
2020-10-23,3308.158,3326.049,3276.62,3277.997,17420898200
2020-10-26,3258.703,3264.446,3226.602,3251.119,16773179500
2020-10-27,3240.74,3258.337,3235.544,3254.316,14911556600
2020-10-28,3256.223,3275.871,3238.382,3269.238,17318196500
2020-10-29,3235.765,3289.766,3231.124,3272.727,18470358900
2020-10-30,3278.631,3279.856,3219.422,3224.533,23018880300
2020-11-02,3228.715,3242.804,3209.909,3225.12,22677913700
2020-11-03,3239.806,3278.381,3237.854,3271.074,21529786400
2020-11-04,3273.433,3286.621,3254.111,3277.44,18851412800
2020-11-05,3305.58,3320.408,3291.6,3320.133,22680146200
2020-11-06,3326.465,3326.465,3292.151,3312.159,23486413200
2020-11-09,3329.429,3380.824,3329.429,3373.734,31021977100
2020-11-10,3387.622,3387.622,3346.172,3360.149,27870111300
2020-11-11,3354.025,3365.836,3339.041,3342.203,27120465300
2020-11-12,3344.456,3350.285,3329.485,3338.679,21650130900
2020-11-13,3327.229,3327.229,3291.643,3310.105,22789836400
2020-11-16,3325.621,3346.969,3313.647,3346.969,27959376100
2020-11-17,3347.151,3347.698,3323.951,3339.895,28363247900
2020-11-18,3337.332,3358.894,3333.992,3347.303,28753125900
2020-11-19,3339.086,3367.333,3330.45,3363.088,25326299200
2020-11-20,3359.597,3380.149,3356.309,3377.727,26127121900
2020-11-23,3384.104,3431.653,3377.986,3414.49,37387204700
2020-11-24,3407.409,3413.926,3396.244,3402.823,30099414400
2020-11-25,3417.515,3423.485,3362.327,3362.327,32211020700
2020-11-26,3360.061,3371.454,3344.282,3369.733,25588682200
2020-11-27,3373.843,3408.307,3364.492,3408.307,28064989400
2020-11-30,3418.158,3456.737,3391.755,3391.755,38498996800
